t_rel_s,sim_joint4_deg,real_joint4_deg
0.0000,10.2926,10.2926
0.0040,10.2926,10.2926
0.0080,10.2926,10.2926
0.0120,10.2926,10.2926
0.0160,10.2926,10.2926
0.0200,10.2926,10.2926
0.0240,10.2926,10.2926
0.0280,10.2926,10.2926
0.0320,10.2926,10.2926
0.0360,10.2926,10.2926
0.0400,10.2926,10.2926
0.0440,10.2926,10.2926
0.0480,10.2926,10.2926
0.0520,10.2926,10.2926
0.0560,10.2926,10.2926
0.0600,10.2926,10.2926
0.0640,10.2926,10.2925
0.0680,10.2926,10.2925
0.0720,10.2926,10.2925
0.0760,10.2926,10.2925
0.0800,10.2926,10.2925
0.0840,10.2926,10.2925
0.0880,10.2926,10.2925
0.0920,10.2926,10.2925
0.0960,10.2926,10.2925
0.1000,10.2926,10.2924
0.1040,10.2926,10.2924
0.1080,10.2926,10.2924
0.1120,10.2926,10.2923
0.1160,10.2926,10.2923
0.1200,10.2926,10.2923
0.1240,10.2925,10.2922
0.1280,10.2925,10.2922
0.1320,10.2925,10.2920
0.1360,10.2925,10.2919
0.1400,10.2925,10.2917
0.1440,10.2925,10.2916
0.1480,10.2925,10.2914
0.1520,10.2925,10.2911
0.1560,10.2925,10.2907
0.1600,10.2924,10.2900
0.1640,10.2924,10.2890
0.1680,10.2924,10.2871
0.1720,10.2924,10.2845
0.1760,10.2923,10.2802
0.1800,10.2923,10.2757
0.1840,10.2922,10.2708
0.1880,10.2921,10.2658
0.1920,10.2920,10.2609
0.1960,10.2918,10.2557
0.2000,10.2917,10.2497
0.2040,10.2915,10.2435
0.2080,10.2910,10.2370
0.2120,10.2902,10.2305
0.2160,10.2889,10.2239
0.2200,10.2874,10.2172
0.2240,10.2857,10.2110
0.2280,10.2836,10.2047
0.2320,10.2826,10.1984
0.2360,10.2811,10.1922
0.2400,10.2782,10.1857
0.2440,10.2747,10.1793
0.2480,10.2708,10.1725
0.2520,10.2664,10.1656
0.2560,10.2644,10.1584
0.2600,10.2614,10.1511
0.2640,10.2561,10.1429
0.2680,10.2504,10.1346
0.2720,10.2443,10.1263
0.2760,10.2379,10.1180
0.2800,10.2311,10.1084
0.2840,10.2243,10.0985
0.2880,10.2214,10.0835
0.2920,10.2173,10.0667
0.2960,10.2097,10.0523
0.3000,10.2022,10.0391
0.3040,10.1943,10.0247
0.3080,10.1865,10.0097
0.3120,10.1780,9.9926
0.3160,10.1690,9.9739
0.3200,10.1605,9.9553
0.3240,10.1569,9.9366
0.3280,10.1518,9.9158
0.3320,10.1423,9.8926
0.3360,10.1322,9.8692
0.3400,10.1217,9.8455
0.3440,10.1106,9.8212
0.3480,10.1058,9.7962
0.3520,10.0994,9.7696
0.3560,10.0859,9.7399
0.3600,10.0716,9.7101
0.3640,10.0565,9.6804
0.3680,10.0407,9.6493
0.3720,10.0236,9.6151
0.3760,10.0056,9.5799
0.3800,9.9983,9.5424
0.3840,9.9867,9.5039
0.3880,9.9664,9.4619
0.3920,9.9438,9.4193
0.3960,9.9197,9.3740
0.4000,9.8945,9.3279
0.4040,9.8678,9.2748
0.4080,9.8403,9.2217
0.4120,9.8292,9.1686
0.4160,9.8149,9.1150
0.4200,9.7803,9.0542
0.4240,9.7468,8.9933
0.4280,9.7126,8.9297
0.4320,9.6758,8.8661
0.4360,9.6599,8.7982
0.4400,9.6354,8.7300
0.4440,9.5936,8.6413
0.4480,9.5511,8.5512
0.4520,9.5043,8.4611
0.4560,9.4542,8.3710
0.4600,9.4030,8.2873
0.4640,9.3507,8.2059
0.4680,9.2970,8.1241
0.4720,9.2744,8.0423
0.4760,9.2393,7.9609
0.4800,9.1813,7.8796
0.4840,9.1192,7.8002
0.4880,9.0543,7.7216
0.4920,8.9872,7.6417
0.4960,8.9170,7.5605
0.5000,8.8531,7.4793
0.5040,8.8170,7.3982
0.5080,8.7712,7.3184
0.5120,8.6940,7.2399
0.5160,8.6121,7.1602
0.5200,8.5271,7.0793
0.5240,8.4424,6.9990
0.5280,8.4069,6.9194
0.5320,8.3670,6.8389
0.5360,8.2615,6.7574
0.5400,8.1700,6.6758
0.5440,8.0771,6.5942
0.5480,7.9930,6.5117
0.5520,7.8978,6.4273
0.5560,7.7917,6.3425
0.5600,7.7543,6.2564
0.5640,7.6971,6.1704
0.5680,7.6008,6.0845
0.5720,7.5041,5.9984
0.5760,7.4085,5.9113
0.5800,7.3123,5.8211
0.5840,7.2158,5.7126
0.5880,7.1222,5.6040
0.5920,7.0839,5.4955
0.5960,7.0256,5.3881
0.6000,6.9278,5.3043
0.6040,6.8293,5.2205
0.6080,6.7308,5.1391
0.6120,6.6297,5.0576
0.6160,6.5887,4.9784
0.6200,6.5259,4.8992
0.6240,6.4217,4.8207
0.6280,6.3181,4.7423
0.6320,6.2086,4.6638
0.6360,6.0980,4.5854
0.6400,5.9896,4.5064
0.6440,5.8813,4.4273
0.6480,5.8402,4.3483
0.6520,5.7768,4.2694
0.6560,5.6681,4.1906
0.6600,5.5633,4.1118
0.6640,5.4590,4.0332
0.6680,5.3590,3.9547
0.6720,5.2581,3.8762
0.6760,5.1580,3.7977
0.6800,5.0624,3.7192
0.6840,5.0239,3.6407
0.6880,4.9682,3.5609
0.6920,4.8739,3.4800
0.6960,4.7817,3.4030
0.7000,4.6951,3.3290
0.7040,4.6088,3.2722
0.7080,4.5740,3.2350
0.7120,4.5223,3.1829
0.7160,4.4362,3.1128
0.7200,4.3494,3.0427
0.7240,4.2605,2.9726
0.7280,4.1740,2.8901
0.7320,4.0859,2.7862
0.7360,3.9968,2.6942
0.7400,3.9612,2.6254
0.7440,3.9074,2.5565
0.7480,3.8199,2.4876
0.7520,3.7334,2.4183
0.7560,3.6442,2.3481
0.7600,3.5547,2.2778
0.7640,3.4704,2.2072
0.7680,3.3868,2.1366
0.7720,3.3485,2.0660
0.7760,3.2958,1.9952
0.7800,3.2111,1.9231
0.7840,3.1267,1.8510
0.7880,3.0433,1.7797
0.7920,2.9587,1.7086
0.7960,2.9248,1.6394
0.8000,2.8747,1.5701
0.8040,2.7907,1.5021
0.8080,2.7069,1.4341
0.8120,2.6215,1.3661
0.8160,2.5375,1.2980
0.8200,2.4541,1.2305
0.8240,2.3695,1.1630
0.8280,2.3372,1.0947
0.8320,2.2894,1.0262
0.8360,2.2047,0.9566
0.8400,2.1203,0.8868
0.8440,2.0375,0.8186
0.8480,1.9557,0.7507
0.8520,1.8732,0.6836
0.8560,1.7899,0.6168
0.8600,1.7097,0.5499
0.8640,1.6786,0.4831
0.8680,1.6338,0.4171
0.8720,1.5530,0.3515
0.8760,1.4744,0.2661
0.8800,1.4001,0.1660
0.8840,1.3268,0.0828
0.8880,1.2967,0.0148
0.8920,1.2526,-0.0517
0.8960,1.1766,-0.1169
0.9000,1.1003,-0.1822
0.9040,1.0221,-0.2474
0.9080,0.9439,-0.3128
0.9120,0.8650,-0.3784
0.9160,0.7867,-0.4442
0.9200,0.7541,-0.5103
0.9240,0.7052,-0.5774
0.9280,0.6270,-0.6459
0.9320,0.5442,-0.7150
0.9360,0.4601,-0.7853
0.9400,0.3795,-0.8557
0.9440,0.2987,-0.9260
0.9480,0.2177,-0.9963
0.9520,0.1837,-1.0665
0.9560,0.1347,-1.1365
0.9600,0.0546,-1.2057
0.9640,-0.0267,-1.2748
0.9680,-0.1082,-1.3431
0.9720,-0.1886,-1.4113
0.9760,-0.2208,-1.4783
0.9800,-0.2691,-1.5452
0.9840,-0.3518,-1.6110
0.9880,-0.4330,-1.6769
0.9920,-0.5146,-1.7427
0.9960,-0.5965,-1.8085
1.0000,-0.6785,-1.8733
1.0040,-0.7609,-1.9381
1.0080,-0.8405,-2.0002
1.0120,-0.9211,-2.0622
1.0160,-0.9529,-2.1560
1.0200,-1.0012,-2.2547
1.0240,-1.0810,-2.3256
1.0280,-1.1573,-2.3911
1.0320,-1.2373,-2.4579
1.0360,-1.3168,-2.5251
1.0400,-1.3934,-2.5923
1.0440,-1.4243,-2.6595
1.0480,-1.4646,-2.7269
1.0520,-1.5402,-2.7945
1.0560,-1.6209,-2.8607
1.0600,-1.6959,-2.9261
1.0640,-1.7701,-2.9929
1.0680,-1.7996,-3.0609
1.0720,-1.8430,-3.1280
1.0760,-1.9202,-3.1939
1.0800,-1.9996,-3.2599
1.0840,-2.0768,-3.3259
1.0880,-2.1564,-3.3921
1.0920,-2.2389,-3.4589
1.0960,-2.3205,-3.5243
1.1000,-2.3529,-3.5871
1.1040,-2.4018,-3.6494
1.1080,-2.4818,-3.7103
1.1120,-2.5642,-3.7707
1.1160,-2.6452,-3.8292
1.1200,-2.7249,-3.8872
1.1240,-2.8054,-3.9432
1.1280,-2.8826,-3.9992
1.1320,-2.9147,-4.0552
1.1360,-2.9619,-4.1113
1.1400,-3.0399,-4.1688
1.1440,-3.1186,-4.2281
1.1480,-3.1947,-4.3106
1.1520,-3.2709,-4.3931
1.1560,-3.3017,-4.4471
1.1600,-3.3475,-4.5009
1.1640,-3.4224,-4.5520
1.1680,-3.4966,-4.6031
1.1720,-3.5739,-4.6541
1.1760,-3.6515,-4.7051
1.1800,-3.7269,-4.7543
1.1840,-3.8008,-4.8032
1.1880,-3.8305,-4.8500
1.1920,-3.8742,-4.8963
1.1960,-3.9492,-4.9393
1.2000,-4.0215,-4.9816
1.2040,-4.0928,-5.0227
1.2080,-4.1640,-5.0632
1.2120,-4.2340,-5.1011
1.2160,-4.3027,-5.1378
1.2200,-4.3696,-5.1746
1.2240,-4.3974,-5.2114
1.2280,-4.4349,-5.2461
1.2320,-4.4981,-5.2790
1.2360,-4.5590,-5.3094
1.2400,-4.6171,-5.3377
1.2440,-4.6714,-5.3636
1.2480,-4.6936,-5.3873
1.2520,-4.7240,-5.4088
1.2560,-4.7774,-5.4276
1.2600,-4.8286,-5.4464
1.2640,-4.8782,-5.4652
1.2680,-4.9258,-5.4820
1.2720,-4.9744,-5.4957
1.2760,-5.0210,-5.5082
1.2800,-5.0397,-5.5187
1.2840,-5.0653,-5.5291
1.2880,-5.1081,-5.5392
1.2920,-5.1494,-5.5469
1.2960,-5.1881,-5.5485
1.3000,-5.2249,-5.5496
1.3040,-5.2600,-5.5494
1.3080,-5.2920,-5.5492
1.3120,-5.3059,-5.5489
1.3160,-5.3238,-5.5487
1.3200,-5.3527,-5.5484
1.3240,-5.3788,-5.5481
1.3280,-5.4020,-5.5474
1.3320,-5.4238,-5.5466
1.3360,-5.4326,-5.5457
1.3400,-5.4435,-5.5447
1.3440,-5.4611,-5.5440
1.3480,-5.4766,-5.5433
1.3520,-5.4902,-5.5425
1.3560,-5.5019,-5.5418
1.3600,-5.5121,-5.5408
1.3640,-5.5207,-5.5398
1.3680,-5.5240,-5.5386
1.3720,-5.5278,-5.5375
1.3760,-5.5338,-5.5364
1.3800,-5.5383,-5.5354
1.3840,-5.5418,-5.5330
1.3880,-5.5443,-5.5304
1.3920,-5.5459,-5.5242
1.3960,-5.5468,-5.5170
1.4000,-5.5470,-5.5097
1.4040,-5.5470,-5.5025
1.4080,-5.5467,-5.4939
1.4120,-5.5460,-5.4846
1.4160,-5.5451,-5.4700
1.4200,-5.5438,-5.4507
1.4240,-5.5424,-5.4328
1.4280,-5.5418,-5.4160
1.4320,-5.5407,-5.3967
1.4360,-5.5382,-5.3735
1.4400,-5.5353,-5.3504
1.4440,-5.5317,-5.3273
1.4480,-5.5275,-5.3024
1.4520,-5.5227,-5.2748
1.4560,-5.5171,-5.2462
1.4600,-5.5146,-5.2151
1.4640,-5.5103,-5.1834
1.4680,-5.5022,-5.1486
1.4720,-5.4918,-5.1136
1.4760,-5.4790,-5.0760
1.4800,-5.4647,-5.0381
1.4840,-5.4492,-4.9954
1.4880,-5.4328,-4.9528
1.4920,-5.4251,-4.9102
1.4960,-5.4137,-4.8675
1.5000,-5.3926,-4.8205
1.5040,-5.3690,-4.7734
1.5080,-5.3436,-4.7229
1.5120,-5.3156,-4.6719
1.5160,-5.3035,-4.6202
1.5200,-5.2859,-4.5684
1.5240,-5.2534,-4.5143
1.5280,-5.2217,-4.4597
1.5320,-5.1851,-4.4038
1.5360,-5.1424,-4.3476
1.5400,-5.1011,-4.2914
1.5440,-5.0586,-4.2352
1.5480,-5.0199,-4.1797
1.5520,-4.9962,-4.1245
1.5560,-4.9702,-4.0517
1.5600,-4.9225,-3.9677
1.5640,-4.8754,-3.8980
1.5680,-4.8277,-3.8404
1.5720,-4.7771,-3.7824
1.5760,-4.7248,-3.7238
1.5800,-4.6732,-3.6652
1.5840,-4.6518,-3.6067
1.5880,-4.6215,-3.5475
1.5920,-4.5650,-3.4873
1.5960,-4.5065,-3.4280
1.6000,-4.4465,-3.3699
1.6040,-4.3843,-3.3117
1.6080,-4.3574,-3.2532
1.6120,-4.3202,-3.1951
1.6160,-4.2538,-3.1382
1.6200,-4.1847,-3.0815
1.6240,-4.1140,-3.0256
1.6280,-4.0440,-2.9697
1.6320,-3.9722,-2.9138
1.6360,-3.8989,-2.8581
