t_mono_s,source,joint1_rad,joint2_rad,joint3_rad,joint4_rad,joint5_rad,joint6_rad
2690.788383,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.791075,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.795200,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.799039,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.803182,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.807099,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.811050,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.815187,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.819061,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.823014,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.826989,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.830986,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.835179,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.839075,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.843044,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.847028,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.851075,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.855115,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.859021,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.862987,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.867141,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.871124,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.875147,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.879062,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.883062,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.887061,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.891073,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.895220,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.899169,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.903079,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.907044,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.911020,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.915174,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.919076,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.923050,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.927108,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.931107,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.935122,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.939048,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.943075,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.947113,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.951085,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.955097,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.959101,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.963085,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.967097,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.971079,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.975249,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.979098,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.983070,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.987048,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.991134,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.995330,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2690.999311,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.003055,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.007110,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.011160,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.015255,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.019125,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.023123,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.027109,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.031112,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.035131,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.039183,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.043155,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.047172,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.051083,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.055130,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.059143,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.063129,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.067126,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.071087,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.075356,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.079116,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.083102,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.087105,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.091139,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.095310,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.099329,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.103140,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.107154,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.111147,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.115127,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.119118,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.123118,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.127130,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.131131,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.135218,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.139173,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.143153,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.147171,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.151180,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
2691.155259,sim,1.535822,0.222966,-2.082423,0.691243,-1.507635,0.116884
